Gene	Factor	NCBI ID
AT1G07530	SCL14	NM_100627.5
AT1G21450	SCL1	NM_101996.4
AT1G50420	SCL3	NM_103925.6
AT1G50600	SCL5	NM_001333445.1
AT1G55580	SCL18	NM_104434.4
AT1G63100	SCL28	NM_104434.4
AT2G04890	SCL21	NM_126521.3
AT2G45160	SCL27	NM_130079.3
AT3G14025	pseudogene	-
AT3G54220	SCR	NM_115282.4
AT4G17230	SCL13	NM_117828.8
AT4G36710	SCL15	NM_119835.6
AT4G37650	SHR	NM_119928.3
AT5G23630	PDR2	NM_122268.5
AT5G41920	SCL23	NM_123557.4
AT5G52510	SCL8	NM_124630.5
AT5G59460	SCL11	NM_125337.2

NM_100627.5, NM_101996.4, NM_103925.6, NM_001333445.1, NM_104434.4, NM_104434.4, NM_126521.3, NM_130079.3, NM_115282.4, NM_117828.8, NM_119835.6, NM_119928.3, NM_122268.5, NM_123557.4, NM_124630.5, NM_125337.2
